iter	Logloss
0	0.6135033513
1	0.5468149294
2	0.4931834003
3	0.4491321027
4	0.4123940361
5	0.3827394645
6	0.3575748193
7	0.3362147887
8	0.3191928699
9	0.3044854607
10	0.2909244269
11	0.280347844
12	0.2719748792
13	0.264406344
14	0.2578422289
15	0.252601187
16	0.2478407891
17	0.2436734387
18	0.2392182461
19	0.2361206222
20	0.233077033
21	0.2305210731
22	0.2280651572
23	0.2254304088
24	0.2232211322
25	0.2210432594
26	0.2194882208
27	0.2180018544
28	0.2165788383
29	0.2152546085
30	0.2140506347
31	0.2126276637
32	0.2114898313
33	0.210326309
34	0.2088958931
35	0.2080747874
36	0.2071972692
37	0.205840855
38	0.2050101413
39	0.2042028591
40	0.2032959883
41	0.2024567624
42	0.2016745514
43	0.2009160239
44	0.2001627946
45	0.199289273
46	0.1982604356
47	0.1975090052
48	0.1968656404
49	0.1962310033
50	0.1956212009
51	0.1949874128
52	0.1942428448
53	0.1937685885
54	0.1931078099
55	0.19208827
56	0.1914940232
57	0.1909670624
58	0.1903647807
59	0.1898436402
60	0.1892059888
61	0.1887665972
62	0.1883590546
63	0.1879363384
64	0.1874853784
65	0.1870818873
66	0.1866684664
67	0.1861218631
68	0.1857092507
69	0.1853852546
70	0.1844978118
71	0.1840395917
72	0.1835983897
73	0.1831476136
74	0.1825192634
75	0.1821600828
76	0.1818072595
77	0.1811675737
78	0.1808223207
79	0.1803998444
80	0.1800751333
81	0.1795968514
82	0.1792242504
83	0.1787428495
84	0.1784535945
85	0.1781312685
86	0.1776905523
87	0.1772569575
88	0.1768256229
89	0.1765114653
90	0.1762235461
91	0.175941346
92	0.1755366944
93	0.1752889545
94	0.1750323655
95	0.1747627255
96	0.1744880724
97	0.1741923002
98	0.1739321147
99	0.1736705378
100	0.1732556797
101	0.1727690202
102	0.1724863855
103	0.1722632695
104	0.1717784269
105	0.1715395558
106	0.1710870301
107	0.1707126768
108	0.1703318755
109	0.1699538429
110	0.1697085258
111	0.16937432
112	0.1690214448
113	0.168771204
114	0.1685501282
115	0.1683208157
116	0.1680078619
117	0.1678022016
118	0.1675407623
119	0.1672454221
120	0.1670231063
121	0.1668116501
122	0.1665087834
123	0.1662644102
124	0.1659973757
125	0.1657486231
126	0.1654806646
127	0.1652988164
128	0.1650807798
129	0.1648773447
130	0.1646449637
131	0.1644249615
132	0.164194993
133	0.1640222836
134	0.1638170515
135	0.1636450369
136	0.1634571042
137	0.163261427
138	0.1630325152
139	0.1628581055
140	0.1626773984
141	0.1625013433
142	0.162302917
143	0.1620300906
144	0.1617410526
145	0.1615832668
146	0.1613964321
147	0.16105971
148	0.1608936519
149	0.1606964168
150	0.160537736
151	0.1603900635
152	0.1601949306
153	0.1598689774
154	0.1597301499
155	0.1595637762
156	0.1593890167
157	0.1592005884
158	0.1589644593
159	0.1586934583
160	0.158538734
161	0.15837878
162	0.1582472372
163	0.1580219881
164	0.157739453
165	0.1575297558
166	0.1573161165
167	0.1571153546
168	0.1569780702
169	0.1567639856
170	0.1565961044
171	0.1564223431
172	0.1561623012
173	0.1559949104
174	0.1558109866
175	0.1555815114
176	0.15544916
177	0.1552410558
178	0.1550879895
179	0.1549272324
180	0.1547660393
181	0.1546225843
182	0.154463085
183	0.154232396
184	0.1540376133
185	0.153824807
186	0.1536195658
187	0.1534683846
188	0.1533290793
189	0.1532061903
190	0.153056328
191	0.152898914
192	0.1527625335
193	0.1525295646
194	0.1523979582
195	0.1522675161
196	0.152071909
197	0.1519356657
198	0.1517730009
199	0.1516183441
200	0.1514579464
201	0.1512715938
202	0.1511436725
203	0.1509769708
204	0.150781956
205	0.150623431
206	0.1503759426
207	0.150231336
208	0.150115575
209	0.1499155873
210	0.1497602236
211	0.1495929472
212	0.1494156549
213	0.149279177
214	0.1491127821
215	0.1489473949
216	0.1488442509
217	0.1486386158
218	0.1484140995
219	0.1482805591
220	0.1481888241
221	0.148027333
222	0.1478933619
223	0.1477544796
224	0.1476649337
225	0.1475195917
226	0.1474005777
227	0.1472598746
228	0.1471015925
229	0.1469726981
230	0.1468141444
231	0.1466923748
232	0.1465655912
233	0.1463800218
234	0.1462245408
235	0.1461150277
236	0.1459631949
237	0.1457882646
238	0.1456924942
239	0.1455281301
240	0.1453136591
241	0.1451712498
242	0.1450551308
243	0.1449560059
244	0.1448487447
245	0.1446684444
246	0.1445545408
247	0.1444161218
248	0.14433841
249	0.1442188753
250	0.1441061286
251	0.1440126215
252	0.1439091259
253	0.1438108146
254	0.143706023
255	0.1436127659
256	0.1435104818
257	0.143382916
258	0.1433089137
259	0.1432422038
260	0.1431357995
261	0.1430490259
262	0.1429489319
263	0.1428264098
264	0.1425996403
265	0.1424838813
266	0.1423651634
267	0.1422530051
268	0.1421398585
269	0.1420767697
270	0.1419828631
271	0.14184701
272	0.1417589397
273	0.1415848765
274	0.1414172542
275	0.141309069
276	0.1411950016
277	0.1410727756
278	0.1409985553
279	0.1408257841
280	0.1406637535
281	0.1406010735
282	0.1405263952
283	0.1403654741
284	0.1402451297
285	0.1401362946
286	0.1400524155
287	0.1399717751
288	0.1398755452
289	0.1398184693
290	0.1396997597
291	0.1395956991
292	0.139536944
293	0.1394503829
294	0.139319615
295	0.1392461906
296	0.1391755431
297	0.1390772766
298	0.1389567684
299	0.1388614473
300	0.1387202656
301	0.1386174445
302	0.138528907
303	0.1383350002
304	0.1381685181
305	0.1380556729
306	0.1379605635
307	0.1378605126
308	0.1377631777
309	0.137635011
310	0.1375327237
311	0.1373851528
312	0.1373294337
313	0.1372174732
314	0.1371387597
315	0.1370259788
316	0.1369716773
317	0.1368797823
318	0.13676533
319	0.1366732788
320	0.1365845026
321	0.136531877
322	0.1364530618
323	0.1363311197
324	0.1362550841
325	0.1361763535
326	0.1360920523
327	0.1359889854
328	0.1359143076
329	0.1358651001
330	0.1358069759
331	0.1357155483
332	0.1355999709
333	0.1354953387
334	0.1354439622
335	0.1353314524
336	0.1352768519
337	0.1351764556
338	0.135116928
339	0.1350063358
340	0.1349600982
341	0.1348810567
342	0.1347877933
343	0.134712851
344	0.1346473332
345	0.1345654788
346	0.1344825124
347	0.1344382584
348	0.1343880947
349	0.134303566
350	0.1342577779
351	0.1342146045
352	0.1341276206
353	0.1340457473
354	0.1339622002
355	0.1338410453
356	0.1337430712
357	0.1335944065
358	0.1335160529
359	0.1334582889
360	0.1333672552
361	0.133320412
362	0.133230885
363	0.1331316721
364	0.1330113149
365	0.1329699752
366	0.1328845529
367	0.1328076947
368	0.1327289392
369	0.1326418918
370	0.132570959
371	0.1325190621
372	0.1324754507
373	0.1324267319
374	0.1323851119
375	0.1322697596
376	0.1321693497
377	0.1320519198
378	0.1319945574
379	0.1319074643
380	0.1318006883
381	0.1317244605
382	0.1316324754
383	0.1315579224
384	0.1314651284
385	0.1313547
386	0.1313060559
387	0.1311986356
388	0.1311379202
389	0.1310446618
390	0.1309645099
391	0.1308850758
392	0.1308456227
393	0.1308082975
394	0.1307655158
395	0.1306787642
396	0.1305973421
397	0.1304795702
398	0.1303978213
399	0.1303073157
400	0.1302597894
401	0.1302183346
402	0.1301643147
403	0.1300939946
404	0.130054296
405	0.129948197
406	0.1298896146
407	0.1298154699
408	0.129772145
409	0.1296898335
410	0.1295895351
411	0.129528423
412	0.1294448487
413	0.1293740964
414	0.1293396144
415	0.1292936568
416	0.1291922111
417	0.1291351743
418	0.1290577729
419	0.1290221345
420	0.1289203107
421	0.1288740801
422	0.1287739259
423	0.1287041059
424	0.128635558
425	0.1284888855
426	0.128422606
427	0.128355614
428	0.1282578119
429	0.1282164024
430	0.1281081541
431	0.1280760578
432	0.1280223378
433	0.1279776526
434	0.1279444955
435	0.1278855607
436	0.1277881599
437	0.1277544029
438	0.1276282579
439	0.1275528107
440	0.1275065093
441	0.1274662327
442	0.1274114196
443	0.1273190668
444	0.1272591855
445	0.127180121
446	0.1271479359
447	0.1271047676
448	0.1270692059
449	0.1269956847
450	0.1268891204
451	0.1268208825
452	0.1267485765
453	0.126714217
454	0.1266406798
455	0.1265074949
456	0.1264666642
457	0.1264027234
458	0.1262774515
459	0.1261448065
460	0.1260731229
461	0.1259880381
462	0.1259449953
463	0.1258890022
464	0.1258250006
465	0.1257886288
466	0.1257272886
467	0.1256594971
468	0.1255901799
469	0.1255470073
470	0.1254878484
471	0.1253658375
472	0.1253262249
473	0.1252916813
474	0.1252041944
475	0.1251225099
476	0.1250682104
477	0.1249978771
478	0.1249663301
479	0.1248887449
480	0.1248576236
481	0.1247666569
482	0.1246775199
483	0.1246384919
484	0.1246084316
485	0.1244820197
486	0.1244148281
487	0.1243494867
488	0.1242994423
489	0.1242214812
490	0.1241565759
491	0.1241203674
492	0.1240889553
493	0.1240619188
494	0.1240316559
495	0.1239418584
496	0.1239121072
497	0.1238838469
498	0.1238531155
499	0.1238244349
500	0.1237663693
501	0.1237382032
502	0.1237094459
503	0.1236319572
504	0.1236033532
505	0.1235619891
506	0.1235009118
507	0.123446505
508	0.1234024198
509	0.1233744265
510	0.1233466413
511	0.1233194681
512	0.1232390781
513	0.123206921
514	0.1231488303
515	0.123083144
516	0.1230562683
517	0.122968958
518	0.1228763011
519	0.122822175
520	0.1227682086
521	0.1227366594
522	0.1226683433
523	0.1226426151
524	0.1225705734
525	0.1225389094
526	0.1224927315
527	0.1224588514
528	0.1223138214
529	0.1222776924
530	0.1222186242
531	0.1221507191
532	0.1220933454
533	0.1220676939
534	0.1220237198
535	0.1219940053
536	0.1219674298
537	0.1219410424
538	0.1219101861
539	0.1218801594
540	0.1218365916
541	0.1217533292
542	0.1217194639
543	0.1216613984
544	0.1216357096
545	0.1215827354
546	0.1215567521
547	0.1215287576
548	0.1215019323
549	0.121475705
550	0.1214469626
551	0.1214022353
552	0.1213767107
553	0.1213002872
554	0.1212741057
555	0.1211794838
556	0.1210912656
557	0.121021279
558	0.1209902355
559	0.1209249552
560	0.1208986622
561	0.1207867785
562	0.1207495232
563	0.1206570625
564	0.1206325563
565	0.120557773
566	0.1205007565
567	0.1204753438
568	0.1204506789
569	0.1203738607
570	0.120349579
571	0.1202899384
572	0.1202211275
573	0.1201973143
574	0.1201732427
575	0.1200987127
576	0.1200598142
577	0.1200196096
578	0.1199919589
579	0.1199222182
580	0.1198980347
581	0.1198734122
582	0.1198274741
583	0.1197720574
584	0.1196952301
585	0.1196722128
586	0.1196393848
587	0.1196157968
588	0.1195795794
589	0.1195403381
590	0.1194727789
591	0.1194489282
592	0.1194032313
593	0.1193803537
594	0.1193566278
595	0.1192989098
596	0.1192762774
597	0.119251516
598	0.119227201
599	0.1191747827
600	0.1191486317
601	0.1191140881
602	0.1190706096
603	0.1189869254
604	0.1189592298
605	0.1189002296
606	0.1188700663
607	0.1188212508
608	0.1187870518
609	0.1187542629
610	0.1186986314
611	0.118676415
612	0.1186456658
613	0.1186231584
614	0.1186002764
615	0.1185473396
616	0.118501221
617	0.1184345126
618	0.118387136
619	0.1183633796
620	0.1183414886
621	0.1182813608
622	0.1182577431
623	0.1181749121
624	0.1181019341
625	0.1180374415
626	0.1180139901
627	0.1179554701
628	0.1179090783
629	0.1178861394
630	0.1178592134
631	0.1178305586
632	0.1178083029
633	0.1177546704
634	0.1177112572
635	0.1176485003
636	0.1175982533
637	0.1175720705
638	0.1175163787
639	0.1174654334
640	0.1174436671
641	0.1174177679
642	0.1173469653
643	0.1172946318
644	0.117237532
645	0.1171557819
646	0.117092855
647	0.1170145313
648	0.1169849294
649	0.1169641527
650	0.1169418597
651	0.1169195613
652	0.1168626539
653	0.1168335612
654	0.1168132609
655	0.1167573948
656	0.1167355936
657	0.1166671629
658	0.1166327922
659	0.1166127141
660	0.1165668898
661	0.1164933048
662	0.116444761
663	0.1164238203
664	0.1164025774
665	0.1163812819
666	0.1163428579
667	0.1163214168
668	0.1162955538
669	0.1162750947
670	0.116209446
671	0.116161492
672	0.1161402852
673	0.1161108126
674	0.1160905691
675	0.1160004731
676	0.1159747951
677	0.1159371938
678	0.1158912531
679	0.1158370095
680	0.1157707847
681	0.1157495035
682	0.1157294999
683	0.1156679786
684	0.1156477801
685	0.1156224731
686	0.115559342
687	0.1155383758
688	0.1155060623
689	0.1154727283
690	0.1154028202
691	0.1153772044
692	0.1153309492
693	0.1153081089
694	0.1152112731
695	0.1151906212
696	0.1151704641
697	0.1151130276
698	0.1150762265
699	0.1149807537
700	0.1149510401
701	0.1149203073
702	0.1148498719
703	0.114829127
704	0.1147819741
705	0.1147631922
706	0.1147050899
707	0.1146813331
708	0.1146545975
709	0.1146351137
710	0.1145440467
711	0.1145172576
712	0.1144970371
713	0.1144621685
714	0.114405816
715	0.1143276595
716	0.1143074588
717	0.1142882182
718	0.1142266303
719	0.1142055298
720	0.114173561
721	0.1141507128
722	0.1141017517
723	0.1140823273
724	0.1140633383
725	0.114006798
726	0.1139667102
727	0.113947497
728	0.1139031836
729	0.1138119187
730	0.1137456187
731	0.113699294
732	0.1136286495
733	0.1135544915
734	0.1135294252
735	0.1135101023
736	0.113460481
737	0.1134272346
738	0.113375514
739	0.1133573791
740	0.1133386649
741	0.1133119085
742	0.1132689811
743	0.1131927969
744	0.1131739185
745	0.1131554441
746	0.1131336994
747	0.1131136418
748	0.1130568167
749	0.1130368512
750	0.1130114611
751	0.1129493152
752	0.1129012446
753	0.1128658836
754	0.1128083615
755	0.1127529773
756	0.11268902
757	0.1126504301
758	0.1126269581
759	0.112609273
760	0.1125908962
761	0.1125725663
762	0.112548747
763	0.1124990364
764	0.1124452921
765	0.11242645
766	0.1123829465
767	0.1123101428
768	0.1122608637
769	0.112177703
770	0.1121301
771	0.1121112444
772	0.1120651604
773	0.1120478365
774	0.1119948988
775	0.1119508349
776	0.1119083388
777	0.1118906505
778	0.1118728755
779	0.1118549759
780	0.1118345692
781	0.1117643791
782	0.1117293807
783	0.1117033095
784	0.111677476
785	0.1116208993
786	0.111603071
787	0.1115164938
788	0.1114987179
789	0.1114289662
790	0.1113616346
791	0.1113433802
792	0.1113127771
793	0.1112555814
794	0.1112131041
795	0.1111955996
796	0.1111784455
797	0.1111182748
798	0.1111003073
799	0.1110625418
800	0.1110279754
801	0.1109890295
802	0.1109509033
803	0.1109287898
804	0.1108779497
805	0.1108275919
806	0.1107666417
807	0.1107488965
808	0.1107128819
809	0.1106706471
810	0.1106163628
811	0.1105940073
812	0.1105765544
813	0.110554559
814	0.1104896765
815	0.110455308
816	0.1104221137
817	0.1104053581
818	0.1103560491
819	0.1103312445
820	0.1102632838
821	0.110213807
822	0.1101831803
823	0.1101411516
824	0.1101240514
825	0.1101025577
826	0.1100860966
827	0.1100524309
828	0.1100107257
829	0.1099659171
830	0.109924596
831	0.1099086584
832	0.1098626378
833	0.1098458767
834	0.1098292712
835	0.1097776251
836	0.1097153583
837	0.1096985022
838	0.1096501727
839	0.1096336458
840	0.1096078999
841	0.1095918691
842	0.1095710739
843	0.1095203306
844	0.1094961666
845	0.109450368
846	0.1094343493
847	0.1093743732
848	0.1093481056
849	0.1093321526
850	0.109269485
851	0.10925344
852	0.1092099206
853	0.1091572229
854	0.1091406022
855	0.1091180749
856	0.1090719059
857	0.1090462365
858	0.1090296037
859	0.1090131951
860	0.1089981167
861	0.1089570695
862	0.108937994
863	0.1088825897
864	0.1088635112
865	0.1088362083
866	0.1087516097
867	0.1087283523
868	0.1087045979
869	0.1085769469
870	0.1085543163
871	0.1085381122
872	0.1084904237
873	0.1084556315
874	0.1084341178
875	0.1083840274
876	0.1083460662
877	0.1083048088
878	0.1082528976
879	0.1082316586
880	0.108193713
881	0.1081479201
882	0.108107532
883	0.1080589144
884	0.1080426821
885	0.1079680872
886	0.1079516445
887	0.1079118895
888	0.1078968505
889	0.1078585973
890	0.1078083697
891	0.107771283
892	0.107736461
893	0.1077198039
894	0.1076606959
895	0.1076344638
896	0.1076184089
897	0.1075745742
898	0.1075306844
899	0.107487783
900	0.1074657844
901	0.1074404105
902	0.1074249194
903	0.1073928089
904	0.1073688067
905	0.1073481667
906	0.1073034527
907	0.1072867822
908	0.1072697716
909	0.1072419767
910	0.1071984634
911	0.1071409028
912	0.107099406
913	0.1070609518
914	0.1070190869
915	0.1069701682
916	0.1069505619
917	0.1069084292
918	0.1068783697
919	0.1068634534
920	0.106819517
921	0.1067842046
922	0.1067689545
923	0.1067539102
924	0.1067332516
925	0.1067110986
926	0.1066655627
927	0.106650965
928	0.1066360169
929	0.1066211817
930	0.1066063431
931	0.106559923
932	0.1065412079
933	0.1064901222
934	0.1064758146
935	0.1064108683
936	0.1063892266
937	0.1063652782
938	0.1063239068
939	0.1063087036
940	0.1062662513
941	0.1062460889
942	0.1061812997
943	0.1061626052
944	0.1061024889
945	0.1060834147
946	0.1060469851
947	0.1060023189
948	0.1059810925
949	0.1059569113
950	0.1059403999
951	0.1059087907
952	0.1058753178
953	0.1058559699
954	0.1058364816
955	0.105779294
956	0.1057628396
957	0.1057327298
958	0.1057184189
959	0.1057035988
960	0.1056449527
961	0.1056263316
962	0.1056118816
963	0.1055749235
964	0.1055161289
965	0.1054957342
966	0.1054440392
967	0.1054297973
968	0.105376669
969	0.1053484792
970	0.1053335378
971	0.1053196967
972	0.1052841696
973	0.105252447
974	0.1052079522
975	0.1051923702
976	0.1051373662
977	0.105113654
978	0.1050540464
979	0.1050136575
980	0.1049752868
981	0.1049571224
982	0.104927949
983	0.1048941644
984	0.104872767
985	0.1048511693
986	0.1048095923
987	0.1047581141
988	0.1047440726
989	0.1047295022
990	0.1047079102
991	0.1046684926
992	0.1046507725
993	0.1046247773
994	0.1046099552
995	0.1045494983
996	0.1045306014
997	0.1044788888
998	0.1044354533
999	0.1044206105
