iter	Passed	Remaining
0	1	1042
1	2	1048
2	3	1097
3	4	1142
4	5	1128
5	6	1108
6	7	1108
7	9	1152
8	10	1202
9	12	1223
10	13	1232
11	15	1237
12	16	1231
13	17	1234
14	19	1289
15	21	1294
16	22	1291
17	23	1293
18	24	1285
19	26	1305
20	27	1302
21	29	1310
22	30	1304
23	31	1298
24	33	1303
25	35	1319
26	36	1322
27	38	1324
28	40	1339
29	41	1346
30	43	1357
31	44	1355
32	46	1351
33	47	1349
34	48	1347
35	50	1343
36	51	1343
37	52	1338
38	54	1343
39	55	1343
40	57	1348
41	58	1341
42	60	1344
43	62	1349
44	63	1349
45	65	1350
46	66	1346
47	67	1342
48	69	1341
49	70	1336
50	71	1335
51	73	1332
52	74	1330
53	76	1340
54	78	1340
55	79	1335
56	80	1331
57	81	1330
58	83	1327
59	84	1327
60	86	1330
61	87	1329
62	89	1325
63	90	1321
64	91	1320
65	93	1320
66	95	1325
67	96	1322
68	97	1319
69	99	1318
70	100	1317
71	102	1317
72	103	1314
73	104	1310
74	106	1308
75	107	1308
76	109	1307
77	110	1305
78	112	1311
79	113	1309
80	115	1304
81	116	1302
82	117	1301
83	118	1297
84	120	1296
85	121	1296
86	123	1293
87	124	1290
88	125	1286
89	127	1284
90	128	1282
91	129	1279
92	131	1278
93	132	1281
94	134	1278
95	135	1275
96	137	1275
97	138	1274
98	139	1271
99	141	1269
100	142	1268
101	143	1267
102	145	1267
103	147	1267
104	148	1267
105	150	1266
106	151	1266
107	153	1264
108	154	1263
109	155	1261
110	157	1260
111	158	1256
112	159	1253
113	161	1251
114	162	1250
115	164	1255
116	166	1256
117	167	1255
118	169	1252
119	170	1249
120	171	1248
121	173	1247
122	175	1254
123	177	1253
124	178	1251
125	180	1250
126	181	1249
127	183	1247
128	184	1246
129	185	1243
130	187	1240
131	189	1242
132	190	1241
133	191	1240
134	193	1240
135	195	1242
136	197	1242
137	198	1241
138	202	1251
139	203	1250
140	205	1250
141	206	1249
142	208	1248
143	209	1245
144	211	1244
145	212	1242
146	215	1251
147	217	1249
148	218	1247
149	219	1245
150	220	1242
151	222	1239
152	224	1241
153	225	1240
154	227	1238
155	228	1236
156	229	1234
157	231	1231
158	232	1228
159	234	1233
160	235	1229
161	237	1227
162	238	1225
163	239	1220
164	240	1214
165	241	1214
166	242	1211
167	244	1209
168	245	1207
169	246	1205
170	248	1203
171	249	1201
172	251	1200
173	253	1201
174	254	1200
175	255	1197
176	257	1195
177	258	1192
178	259	1191
179	261	1192
180	263	1190
181	264	1189
182	266	1189
183	267	1186
184	268	1184
185	270	1182
186	271	1180
187	272	1178
188	274	1176
189	275	1174
190	276	1171
191	278	1170
192	279	1169
193	280	1166
194	282	1165
195	283	1162
196	284	1161
197	286	1162
198	288	1160
199	289	1157
200	290	1155
201	291	1153
202	294	1155
203	295	1153
204	296	1150
205	297	1148
206	299	1145
207	300	1144
208	301	1141
209	302	1139
210	304	1137
211	305	1135
212	306	1133
213	307	1131
214	309	1131
215	311	1131
216	313	1129
217	314	1127
218	315	1125
219	317	1124
220	318	1122
221	319	1121
222	321	1119
223	323	1119
224	324	1118
225	326	1116
226	327	1115
227	329	1114
228	330	1111
229	331	1110
230	332	1108
231	334	1108
232	336	1106
233	337	1104
234	339	1104
235	340	1101
236	341	1099
237	342	1098
238	344	1096
239	346	1096
240	347	1094
241	348	1092
242	350	1090
243	351	1089
244	353	1088
245	354	1086
246	355	1084
247	358	1085
248	359	1084
249	360	1082
250	362	1080
251	363	1078
252	364	1076
253	366	1075
254	367	1073
255	368	1071
256	370	1069
257	371	1068
258	372	1066
259	374	1065
260	375	1063
261	376	1061
262	378	1061
263	380	1059
264	381	1058
265	383	1057
266	384	1055
267	385	1053
268	386	1051
269	388	1051
270	390	1049
271	391	1047
272	392	1045
273	394	1044
274	395	1042
275	396	1040
276	398	1038
277	399	1037
278	400	1034
279	401	1033
280	403	1032
281	404	1030
282	406	1028
283	408	1030
284	410	1029
285	411	1027
286	413	1026
287	414	1024
288	415	1022
289	417	1021
290	418	1020
291	420	1018
292	421	1017
293	423	1016
294	424	1015
295	426	1013
296	427	1011
297	429	1011
298	430	1009
299	432	1009
300	433	1007
301	435	1005
302	437	1006
303	438	1005
